Verse,Reference,Theme
"then all of you and all the people of Israel should know that it was in the name of Jesus Christ the Nazorean whom you crucified, whom God raised from the dead; in his name this man stands before you healed.",Acts 4:10,General
"For to me life is Christ, and death is gain.",Philippians 1:21,General
"Be angry but do not sin; do not let the sun set on your anger,",Ephesians 4:26,General
Once you were “no people” but now you are God’s people; you “had not received mercy” but now you have received mercy.,1Peter 2:10,General
"Then the disciples approached Jesus in private and said, “Why could we not drive it out?”",Matthew 17:19,General
"For behold, some are last who will be first, and some are first who will be last.”",Luke 13:30,General
"When the Samaritans came to him, they invited him to stay with them; and he stayed there two days.",John 4:40,General
“For this reason they stand before God’s throne and worship him day and night in his temple. The one who sits on the throne will shelter them.,Revelation 7:15,General
"Therefore, a bishop must be irreproachable, married only once, temperate, self-controlled, decent, hospitable, able to teach,",1Timothy 3:2,General
The sailors then tried to abandon ship; they lowered the dinghy to the sea on the pretext of going to lay out anchors from the bow.,Acts 27:30,General
"there is no one who understands, there is no one who seeks God.",Romans 3:11,General
"For I have come to set a man ‘against his father, a daughter against her mother, and a daughter-in-law against her mother-in-law;",Matthew 10:35,General
"Avoid giving offense, whether to Jews or Greeks or the church of God,",1Corinthians 10:32,General
"who through him believe in God who raised him from the dead and gave him glory, so that your faith and hope are in God. Mutual Love.",1Peter 1:21,General
"He spoke these words while teaching in the treasury in the temple area. But no one arrested him, because his hour had not yet come. Jesus, the Father’s Ambassador.",John 8:20,General
IV. Justification and the Christian Life Chapter 6 - Freedom from Sin; Life in God. What then shall we say? Shall we persist in sin that grace may abound? Of course not!,Romans 6:1,General
"Pilate also had an inscription written and put on the cross. It read, “Jesus the Nazorean, the King of the Jews.”",John 19:19,General
"When the disciples saw this, they were indignant and said, “Why this waste?",Matthew 26:8,General
"The Second Prediction of the Passion. They left from there and began a journey through Galilee, but he did not wish anyone to know about it.",Mark 9:30,General
"Father, glorify your name.” Then a voice came from heaven, “I have glorified it and will glorify it again.”",John 12:28,General
"Do you not know that if you present yourselves to someone as obedient slaves, you are slaves of the one you obey, either of sin, which leads to death, or of obedience, which leads to righteousness?",Romans 6:16,General
"Those who sleep go to sleep at night, and those who are drunk get drunk at night.",1Thessalonians 5:7,General
"So I tell you, her many sins have been forgiven; hence, she has shown great love. But the one to whom little is forgiven, loves little.”",Luke 7:47,General
"When vintage time drew near, he sent his servants to the tenants to obtain his produce.",Matthew 21:34,General
"They said to him, “Then why did Moses command that the man give the woman a bill of divorce and dismiss [her]?”",Matthew 19:7,General
"But during the night, the angel of the Lord opened the doors of the prison, led them out, and said,",Acts 5:19,General
So they set out at once and returned to Jerusalem where they found gathered together the eleven and those with them,Luke 24:33,General
"The men who were traveling with him stood speechless, for they heard the voice but could see no one.",Acts 9:7,General
"Luke is the only one with me. Get Mark and bring him with you, for he is helpful to me in the ministry.",2Timothy 4:11,General
"And apart from these things, there is the daily pressure upon me of my anxiety for all the churches.",2Corinthians 11:28,General
"twelve thousand were marked from the tribe of Judah, twelve thousand from the tribe of Reuben, twelve thousand from the tribe of Gad,",Revelation 7:5,General
"He said to him, ‘My friend, how is it that you came in here without a wedding garment?’ But he was reduced to silence.",Matthew 22:12,General
"and she gave birth to her firstborn son. She wrapped him in swaddling clothes and laid him in a manger, because there was no room for them in the inn.",Luke 2:7,General
"For whatever was written previously was written for our instruction, that by endurance and by the encouragement of the scriptures we might have hope.",Romans 15:4,General
